Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - at 30 June,Estimated resident population (no.),,,403104,416824,430140,441277,450632,453558,
ERP_21,Estimated resident population - at 30 June,Population density (persons/km2),,,170.9,176.8,182.4,187.1,191.1,192.3,
ERP_M_20,Estimated resident population - at 30 June,Estimated resident population - males (no.),,,199780,206491,212909,218386,222636,223867,
ERP_F_20,Estimated resident population - at 30 June,Estimated resident population - females (no.),,,203324,210333,217231,222891,227996,229691,
ERP_19,Estimated resident population - at 30 June,Median age - males (years),,,34.2,34.1,33.9,33.9,34.2,34.7,
ERP_22,Estimated resident population - at 30 June,Median age - females (years),,,35.6,35.4,35.3,35.4,35.7,36.1,
ERP_23,Estimated resident population - at 30 June,Median age - persons (years),,,34.9,34.7,34.6,34.7,35,35.4,
ERP_18,Estimated resident population - at 30 June,Working age population (aged 15-64 years) (no.),,,277541,286313,295752,303330,308624,309396,
ERP_17,Estimated resident population - at 30 June,Working age population (aged 15-64 years) (%),,,68.9,68.7,68.8,68.7,68.5,68.2,
ERP_M_2,Estimated resident population - Males - at 30 June,Males - 0-4 years (no.),,,14556,14729,14644,14423,14273,13925,
ERP_M_3,Estimated resident population - Males - at 30 June,Males - 5-9 years (no.),,,13404,13957,14424,14748,14977,14996,
ERP_M_4,Estimated resident population - Males - at 30 June,Males - 10-14 years (no.),,,11384,12037,12494,13041,13680,14030,
ERP_M_5,Estimated resident population - Males - at 30 June,Males - 15-19 years (no.),,,12610,12882,13591,13847,13663,13433,
ERP_M_6,Estimated resident population - Males - at 30 June,Males - 20-24 years (no.),,,16540,17679,18515,18978,18255,17391,
ERP_M_7,Estimated resident population - Males - at 30 June,Males - 25-29 years (no.),,,16967,17746,18739,19684,20308,20041,
ERP_M_8,Estimated resident population - Males - at 30 June,Males - 30-34 years (no.),,,17084,17452,17947,18306,19057,19302,
ERP_M_9,Estimated resident population - Males - at 30 June,Males - 35-39 years (no.),,,15238,15966,16704,17480,18088,18475,
ERP_M_10,Estimated resident population - Males - at 30 June,Males - 40-44 years (no.),,,14172,14313,14543,14803,15113,15695,
ERP_M_11,Estimated resident population - Males - at 30 June,Males - 45-49 years (no.),,,13105,13670,13970,14298,14536,14443,
ERP_M_12,Estimated resident population - Males - at 30 June,Males - 50-54 years (no.),,,11892,11863,12010,12236,12610,13181,
ERP_M_13,Estimated resident population - Males - at 30 June,Males - 55-59 years (no.),,,10893,11200,11340,11506,11610,11527,
ERP_M_14,Estimated resident population - Males - at 30 June,Males - 60-64 years (no.),,,9171,9277,9377,9468,9834,10019,
ERP_M_15,Estimated resident population - Males - at 30 June,Males - 65-69 years (no.),,,8328,8267,8269,8338,8383,8363,
ERP_M_16,Estimated resident population - Males - at 30 June,Males - 70-74 years (no.),,,5763,6331,6876,7286,7693,7760,
ERP_M_17,Estimated resident population - Males - at 30 June,Males - 75-79 years (no.),,,3905,4151,4292,4513,4822,5269,
ERP_M_18,Estimated resident population - Males - at 30 June,Males - 80-84 years (no.),,,2511,2649,2793,2964,3097,3234,
ERP_M_19,Estimated resident population - Males - at 30 June,Males - 85 and over (no.),,,2257,2322,2381,2467,2637,2783,
ERP_M_21,Estimated resident population - Males - at 30 June,Males - 0-4 years (%),,,7.3,7.1,6.9,6.6,6.4,6.2,
ERP_M_22,Estimated resident population - Males - at 30 June,Males - 5-9 years (%),,,6.7,6.8,6.8,6.8,6.7,6.7,
ERP_M_23,Estimated resident population - Males - at 30 June,Males - 10-14 years (%),,,5.7,5.8,5.9,6,6.1,6.3,
ERP_M_24,Estimated resident population - Males - at 30 June,Males - 15-19 years (%),,,6.3,6.2,6.4,6.3,6.1,6,
ERP_M_25,Estimated resident population - Males - at 30 June,Males - 20-24 years (%),,,8.3,8.6,8.7,8.7,8.2,7.8,
ERP_M_26,Estimated resident population - Males - at 30 June,Males - 25-29 years (%),,,8.5,8.6,8.8,9,9.1,9,
ERP_M_27,Estimated resident population - Males - at 30 June,Males - 30-34 years (%),,,8.6,8.5,8.4,8.4,8.6,8.6,
ERP_M_28,Estimated resident population - Males - at 30 June,Males - 35-39 years (%),,,7.6,7.7,7.8,8,8.1,8.3,
ERP_M_29,Estimated resident population - Males - at 30 June,Males - 40-44 years (%),,,7.1,6.9,6.8,6.8,6.8,7,
ERP_M_30,Estimated resident population - Males - at 30 June,Males - 45-49 years (%),,,6.6,6.6,6.6,6.5,6.5,6.5,
ERP_M_31,Estimated resident population - Males - at 30 June,Males - 50-54 years (%),,,6,5.7,5.6,5.6,5.7,5.9,
ERP_M_32,Estimated resident population - Males - at 30 June,Males - 55-59 years (%),,,5.5,5.4,5.3,5.3,5.2,5.1,
ERP_M_33,Estimated resident population - Males - at 30 June,Males - 60-64 years (%),,,4.6,4.5,4.4,4.3,4.4,4.5,
ERP_M_34,Estimated resident population - Males - at 30 June,Males - 65-69 years (%),,,4.2,4,3.9,3.8,3.8,3.7,
ERP_M_35,Estimated resident population - Males - at 30 June,Males - 70-74 years (%),,,2.9,3.1,3.2,3.3,3.5,3.5,
ERP_M_36,Estimated resident population - Males - at 30 June,Males - 75-79 years (%),,,2,2,2,2.1,2.2,2.4,
ERP_M_37,Estimated resident population - Males - at 30 June,Males - 80-84 years (%),,,1.3,1.3,1.3,1.4,1.4,1.4,
ERP_M_38,Estimated resident population - Males - at 30 June,Males - 85 and over (%),,,1.1,1.1,1.1,1.1,1.2,1.2,
