Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - at 30 June,Estimated resident population (no.),,,4845152,4928374,5010502,5094718,5175003,5217653,
ERP_21,Estimated resident population - at 30 June,Population density (persons/km2),,,2.8,2.8,2.9,2.9,3,3,
ERP_M_20,Estimated resident population - at 30 June,Estimated resident population - males (no.),,,2403173,2444371,2483286,2524622,2563642,2586455,
ERP_F_20,Estimated resident population - at 30 June,Estimated resident population - females (no.),,,2441979,2484003,2527216,2570096,2611361,2631198,
ERP_19,Estimated resident population - at 30 June,Median age - males (years),,,36.3,36.4,36.6,36.8,37.1,37.6,
ERP_22,Estimated resident population - at 30 June,Median age - females (years),,,37.8,37.9,38.1,38.3,38.6,39.1,
ERP_23,Estimated resident population - at 30 June,Median age - persons (years),,,37,37.1,37.3,37.5,37.9,38.4,
ERP_18,Estimated resident population - at 30 June,Working age population (aged 15-64 years) (no.),,,3177508,3222016,3263709,3308568,3350675,3363744,
ERP_17,Estimated resident population - at 30 June,Working age population (aged 15-64 years) (%),,,65.6,65.4,65.1,64.9,64.7,64.5,
ERP_M_2,Estimated resident population - Males - at 30 June,Males - 0-4 years (no.),,,162602,162549,161729,160644,158559,155604,
ERP_M_3,Estimated resident population - Males - at 30 June,Males - 5-9 years (no.),,,169527,170901,172406,173216,173461,173018,
ERP_M_4,Estimated resident population - Males - at 30 June,Males - 10-14 years (no.),,,157403,162116,168093,173872,178725,180904,
ERP_M_5,Estimated resident population - Males - at 30 June,Males - 15-19 years (no.),,,156725,159245,160041,161314,162114,163414,
ERP_M_6,Estimated resident population - Males - at 30 June,Males - 20-24 years (no.),,,172656,173323,172869,173623,172257,169066,
ERP_M_7,Estimated resident population - Males - at 30 June,Males - 25-29 years (no.),,,173347,176620,179395,181971,182313,178372,
ERP_M_8,Estimated resident population - Males - at 30 June,Males - 30-34 years (no.),,,168749,171349,172958,175276,178615,179131,
ERP_M_9,Estimated resident population - Males - at 30 June,Males - 35-39 years (no.),,,154378,158710,164736,170040,175469,178658,
ERP_M_10,Estimated resident population - Males - at 30 June,Males - 40-44 years (no.),,,163289,160822,158393,157597,158898,161995,
ERP_M_11,Estimated resident population - Males - at 30 June,Males - 45-49 years (no.),,,159511,164806,168897,171373,172186,169521,
ERP_M_12,Estimated resident population - Males - at 30 June,Males - 50-54 years (no.),,,153319,152858,153123,154387,158196,164600,
ERP_M_13,Estimated resident population - Males - at 30 June,Males - 55-59 years (no.),,,144940,148652,151947,154880,156520,156075,
ERP_M_14,Estimated resident population - Males - at 30 June,Males - 60-64 years (no.),,,127778,129958,132796,136652,141262,145492,
ERP_M_15,Estimated resident population - Males - at 30 June,Males - 65-69 years (no.),,,120214,120259,121439,122765,125022,127222,
ERP_M_16,Estimated resident population - Males - at 30 June,Males - 70-74 years (no.),,,89276,96627,103043,107842,111972,115699,
ERP_M_17,Estimated resident population - Males - at 30 June,Males - 75-79 years (no.),,,60452,63887,66852,71015,75747,80712,
ERP_M_18,Estimated resident population - Males - at 30 June,Males - 80-84 years (no.),,,37411,39128,41207,43664,46483,49192,
ERP_M_19,Estimated resident population - Males - at 30 June,Males - 85 and over (no.),,,31596,32561,33362,34491,35843,37780,
ERP_M_21,Estimated resident population - Males - at 30 June,Males - 0-4 years (%),,,6.8,6.6,6.5,6.4,6.2,6,
ERP_M_22,Estimated resident population - Males - at 30 June,Males - 5-9 years (%),,,7.1,7,6.9,6.9,6.8,6.7,
ERP_M_23,Estimated resident population - Males - at 30 June,Males - 10-14 years (%),,,6.5,6.6,6.8,6.9,7,7,
